Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_CR2032",104.500000,-87.500000,-90.000000,bottom
"C1","470uF 50V","CP_Elec_8x10",137.000000,-125.500000,180.000000,bottom
"C2","100nF 50V","C_0805_2012Metric",140.000000,-119.750000,180.000000,bottom
"C3","330uF 16V","CP_Elec_8x10",89.750000,-124.750000,180.000000,bottom
"C4","100nF 35V","C_0805_2012Metric",97.500000,-128.500000,-90.000000,bottom
"D1","S6M","D_SMC",146.250000,-125.750000,90.000000,bottom
"D2","SK54","ST_D_SMC",115.500000,-120.750000,90.000000,bottom
"FB1","FerriteBead","L_0805_2012Metric",82.250000,-111.500000,90.000000,bottom
"J1","Conn_01x02","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",152.567500,-124.150000,-90.000000,bottom
"J3","Conn_01x05","PhoenixContact_MC_1,5_5-G-3.81_1x05_P3.81mm_Horizontal",152.567500,-88.185000,-90.000000,bottom
"J4","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",103.910000,-55.500000,90.000000,bottom
"J5","Conn_01x03","PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal",152.567500,-109.995000,-90.000000,bottom
"J6","Conn_01x06","PhoenixContact_MC_1,5_6-G-3.81_1x06_P3.81mm_Horizontal",152.567500,-62.450000,-90.000000,bottom
"J8","Conn_01x04","PhoenixContact_MC_1,5_4-G-3.81_1x04_P3.81mm_Horizontal",152.567500,-44.340000,-90.000000,bottom
"L1","47uH","WE-PD_1210",105.500000,-123.750000,-90.000000,bottom
"R8","1k","R_0805_2012Metric",148.125000,-89.000000,180.000000,bottom
"R9","1k","R_0805_2012Metric",148.500000,-93.250000,180.000000,bottom
"R14","1k","R_0805_2012Metric",148.500000,-98.000000,180.000000,bottom
"R15","1k","R_0805_2012Metric",148.500000,-102.000000,180.000000,bottom
"R23","10k","R_0805_2012Metric",145.250000,-115.500000,180.000000,bottom
"R27","10k","R_0805_2012Metric",145.250000,-117.500000,180.000000,bottom
"U1","LM2596S-5","TO-263-5_TabPin3",124.500000,-119.875000,90.000000,bottom
"C5","22uF 16V","CP_EIA-3528-21_Kemet-B",84.500000,-125.500000,180.000000,top
"C6","100nF 16V","C_0805_2012Metric",85.250000,-128.500000,180.000000,top
"C7","100nF 16V","C_0805_2012Metric",95.750000,-119.600000,0.000000,top
"C8","10uF 16V","CP_EIA-3528-21_Kemet-B",96.250000,-116.500000,0.000000,top
"C9","100nF","C_0805_2012Metric",141.750000,-85.000000,-90.000000,top
"C10","100nF","C_0805_2012Metric",141.750000,-89.500000,-90.000000,top
"C11","100nF","C_0805_2012Metric",126.500000,-81.250000,90.000000,top
"C12","100nF","C_0805_2012Metric",126.500000,-85.500000,90.000000,top
"C13","100nF","C_0805_2012Metric",141.750000,-93.500000,-90.000000,top
"C14","100nF","C_0805_2012Metric",141.750000,-98.500000,-90.000000,top
"C15","100nF","C_0805_2012Metric",126.500000,-89.750000,90.000000,top
"C16","100nF","C_0805_2012Metric",126.500000,-94.000000,90.000000,top
"C17","1uF","C_0805_2012Metric",112.700000,-71.000000,180.000000,top
"C18","100nF","C_0805_2012Metric",112.700000,-73.250000,0.000000,top
"C19","100nF","C_0805_2012Metric",92.750000,-61.500000,-90.000000,top
"C20","22pF","C_0805_2012Metric",91.000000,-77.250000,-90.000000,top
"C21","22pF","C_0805_2012Metric",91.000000,-67.000000,90.000000,top
"C22","100nF","C_0805_2012Metric",109.912500,-97.500000,0.000000,top
"C23","100nF","C_0805_2012Metric",110.000000,-105.000000,0.000000,top
"C24","100nF","C_0805_2012Metric",98.950000,-90.750000,90.000000,top
"C25","1uF","C_0805_2012Metric",96.800000,-90.750000,-90.000000,top
"C26","22pF","C_0805_2012Metric",98.250000,-82.250000,-90.000000,top
"C27","22pF","C_0805_2012Metric",90.500000,-82.250000,-90.000000,top
"C28","1uF","C_0805_2012Metric",118.750000,-72.150000,0.000000,top
"C29","100nF","C_0805_2012Metric",118.750000,-70.000000,180.000000,top
"C30","100nF","C_0805_2012Metric",130.000000,-69.500000,90.000000,top
"C31","100nF","C_0805_2012Metric",130.000000,-66.000000,90.000000,top
"C32","100nF","C_0805_2012Metric",133.250000,-69.500000,0.000000,top
"C33","100nF","C_0805_2012Metric",133.250000,-63.750000,0.000000,top
"C34","100pF","C_0805_2012Metric",144.500000,-60.750000,180.000000,top
"C35","100pF","C_0805_2012Metric",144.500000,-63.000000,180.000000,top
"C36","1uF","C_0805_2012Metric",148.750000,-81.500000,180.000000,top
"C37","100nF","C_0805_2012Metric",148.750000,-79.250000,0.000000,top
"C38","100nF","C_0805_2012Metric",144.500000,-48.000000,0.000000,top
"C39","100nF","C_0805_2012Metric",95.500000,-63.500000,90.000000,top
"C40","100nF","C_0805_2012Metric",144.750000,-55.020000,0.000000,top
"D3","LED","LED_0603_1608Metric",148.750000,-125.500000,-90.000000,top
"D4","LED","LED_0603_1608Metric",147.962500,-89.000000,0.000000,top
"D5","LED","LED_0603_1608Metric",148.500000,-93.250000,0.000000,top
