Reference;Qty;Value;DNP;Exclude from BOM;Exclude from Board;Footprint;Datasheet;LİNK
BT1;1;Battery_Cell;;;;buket:BatteryHolder_CR2032;kicad-embed://DS1092-04(battery holder).pdf;https://www.ozdisan.com/p/pil-yuvalari-484/connfly-ds1092-04-b6p-462218
C1;1;470uF 50V;;;;Capacitor_SMD:CP_Elec_8x10;;https://eu.mouser.com/tr/ProductDetail/KYOCERA-AVX/AEA1616471M050R?qs=Wj%2FVkw3K%252BMABpFRUvPlTGg%3D%3D
C2;1;100nF 50V;;;;Capacitor_SMD:C_0805_2012Metric;;
C3;1;330uF 16V;;;;Capacitor_SMD:CP_Elec_8x10;;https://www.digikey.com/en/products/detail/rubycon/35TZV330M10X10-5/3134904
C4;1;100nF 35V;;;;Capacitor_SMD:C_0805_2012Metric;;
C5;1;22uF 16V;;;;Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B;;https://eu.mouser.com/tr/ProductDetail/Vishay-Sprague/293D226X9016B2TE3?qs=sGAEpiMZZMtZ1n0r9vR22ThVmH8ugQQaWWCHEVnc%2F64%3D
C8;1;10uF 16V;;;;Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B;;https://eu.mouser.com/tr/ProductDetail/Vishay-Sprague/293D106X9016B2TE3?qs=sGAEpiMZZMtZ1n0r9vR22R2elOEA%2FoPq7JYM2mFh7so%3D
D1;1;S6M;;;;Diode_SMD:D_SMC;;https://www.digikey.com/en/products/detail/goodwork/S6M/29515578
D2;1;SK54;;;;Diode_SMD:ST_D_SMC;;https://www.digikey.com/en/products/detail/surge/SK54/13545775
J1;1;Conn_01x02;;;;Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal;;https://www.digikey.com/en/products/detail/phoenix-contact/1803277/260574
J2;1;Conn_02x20_Odd_Even;;;;buket:RaspberryPİ4;;https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SSK04-FPH-254-B20/28772147
J3;1;Conn_01x05;;;;Connector_Phoenix_MC:PhoenixContact_MC_1,5_5-G-3.81_1x05_P3.81mm_Horizontal;;https://www.digikey.com/en/products/detail/phoenix-contact/1803303/260577
J4;1;Conn_01x05;;;;Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical;;https://www.digikey.com/en/products/detail/phoenix-contact/1803303/260577
J5;1;Conn_01x03;;;;Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal;;https://www.digikey.com/en/products/detail/phoenix-contact/1803280/260575
J6;1;Conn_01x06;;;;Connector_Phoenix_MC:PhoenixContact_MC_1,5_6-G-3.81_1x06_P3.81mm_Horizontal;;https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTOQ063250/1588103
J7;1;Conn_01x02;;;;Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical;;
J8;1;Conn_01x04;;;;Connector_Phoenix_MC:PhoenixContact_MC_1,5_4-G-3.81_1x04_P3.81mm_Horizontal;;
L1;1;47uH;;;;buket:WE-PD_1210;;https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/7447709470/1638651
R1;1;150R;;;;Resistor_SMD:R_0805_2012Metric;;
R33;1;120R;;;;Resistor_SMD:R_0805_2012Metric;;
U1;1;LM2596S-5;;;;Package_TO_SOT_SMD:TO-263-5_TabPin3;http://www.ti.com/lit/ds/symlink/lm2596.pdf;https://www.digikey.com/en/products/detail/shenzhen-slkormicro-semicon-co-ltd/LM2596S-5-0/25701256
U2;1;AMS1117-3.3;;;;Package_TO_SOT_SMD:SOT-223-3_TabPin2;http://www.advanced-monolithic.com/pdf/ds1117.pdf;https://www.digikey.com/en/products/detail/shenzhen-slkormicro-semicon-co-ltd/AMS1117-3-3-SOT-223/21853079
U7;1;PIC18F26K22-xSO;;;;Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm;http://ww1.microchip.com/downloads/en/DeviceDoc/40001412G.pdf;
U12;1;BQ32000;;;;Package_SO:SOIC-8_3.9x4.9mm_P1.27mm;http://www.ti.com/lit/ds/symlink/bq32000.pdf;
U13;1;MAX3232;;;;Package_SO:SOIC-16_3.9x9.9mm_P1.27mm;https://datasheets.maximintegrated.com/en/ds/MAX3222-MAX3241.pdf;https://www.digikey.com/en/products/detail/texas-instruments/MAX3232CDR/484770
U14;1;MAX3485;;;;Package_SO:SOIC-8_3.9x4.9mm_P1.27mm;https://datasheets.maximintegrated.com/en/ds/MAX3483-MAX3491.pdf;https://tr.farnell.com/analog-devices/max3485aeasa-t/rs422-rs485-transceiver-40-to/dp/2987354
Y1;1;Crystal;;;;Crystal:Crystal_SMD_HC49-SD;;https://www.digikey.com/en/products/detail/abracon-llc/ABLS-8-000MHZ-B2-T/675284
Y2;1;Crystal;;;;Crystal:Crystal_Round_D3.0mm_Vertical;kicad-embed://R38-32.768-12.5-EXT-5PPM.pdf;https://www.ozdisan.com/p/kristaller-508/raltron-r38-32-768-12-5-ext-5ppm-334588
C6,C7;2;100nF 16V;;;;Capacitor_SMD:C_0805_2012Metric;;
C34,C35;2;100pF;;;;Capacitor_SMD:C_0805_2012Metric;;
D8,D10;2;M7;;;;Diode_SMD:D_SMA;;https://www.digikey.com/en/products/detail/goodwork/S6M/29515578
Q1,Q2;2;Q_NMOS_GDS;;;;Package_TO_SOT_SMD:TO-252-3_TabPin2;;https://eu.mouser.com/tr/ProductDetail/Infineon-Technologies/IRLR024NTRPBF?qs=nrWyqPbesnXJAeQYJ5m9gQ%3D%3D
R20,R21;2;4.7k;;;;Resistor_SMD:R_0805_2012Metric;;
R22,R26;2;2k2;;;;Resistor_SMD:R_0805_2012Metric;;
R24,R28;2;330R;;;;Resistor_SMD:R_0805_2012Metric;;
R38,R39;2;150R 0.1%;;;;Resistor_SMD:R_0805_2012Metric;;https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCF0805TKY100R/2269699
U8,U10;2;74LVC1G07;;;;Package_TO_SOT_SMD:SOT-23-5;https://www.ti.com/lit/ds/symlink/sn74lvc1g07.pdf;https://eu.mouser.com/tr/ProductDetail/Texas-Instruments/74LVC1G07QDBVRQ1G4?qs=7%2F6SraaimPR3g%2FbEI0YVnw%3D%3D
U15,U16;2;MCP6001-OT;;;;Package_TO_SOT_SMD:SOT-23-5;https://ww1.microchip.com/downloads/en/DeviceDoc/MCP6001-1R-1U-2-4-1-MHz-Low-Power-Op-Amp-DS20001733L.pdf;
C17,C25,C28,C36;4;1uF;;;;Capacitor_SMD:C_0805_2012Metric;;
C20,C21,C26,C27;4;22pF;;;;Capacitor_SMD:C_0805_2012Metric;;
FB1,FB2,FB3,FB4,FB5;5;FerriteBead;;;;Inductor_SMD:L_0805_2012Metric;;
R30,R31,R32,R34,R35;5;33R;;;;Resistor_SMD:R_0805_2012Metric;;
R8,R9,R14,R15,R19,R41;6;1k;;;;Resistor_SMD:R_0805_2012Metric;;
U3,U4,U5,U6,U9,U11;6;TLP184;;;;Package_SO:Toshiba_SOIC-4-6_4.4x3.6mm_P1.27mm;https://toshiba.semicon-storage.com/info/docget.jsp?did=11793&prodName=TLP184;https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/TLP184-GB-TPL-SE/4562845
D3,D4,D5,D6,D7,D9,D11;7;LED;;;;LED_SMD:LED_0603_1608Metric;;https://tr.farnell.com/qt-brightek/qblp617-ag1/led-green-0602-45mcd-570nm-smd/dp/4469622
R4,R5,R6,R7,R12,R13,R16,R17;8;4k7;;;;Resistor_SMD:R_0805_2012Metric;;
R2,R3,R10,R11,R18,R23,R25,R27,R29,R36,R37;11;10k;;;;Resistor_SMD:R_0805_2012Metric;;
C9,C10,C11,C12,C13,C14,C15,C16,C18,C19,C22,C23,C24,C29,C30,C31,C32,C33,C37,C38,C39,C40;22;100nF;;;;Capacitor_SMD:C_0805_2012Metric;;
